year,temp_oslo,temp_global,10 years OSLO,10 years global,odchylky oslo,odchylky global,,,,,,,,,OSLO,,,,,
1750,3.57,8.72,,,1.4291,0.13,,,Year average (initial data),Oslo [°C],Global [°C],,,,pocet > 4,9,0,,,
1751,3.06,7.98,,,0.4698,0.1439,,,Average,2.4,8.4,,,,pocet > 3,62,22,,,
1752,-2.24,5.78,,,21.294,6.6533,,,Median,2.4,8.4,,,,pocet>3.5,27,9,,,
1753,2.15,8.39,,,0.0504,0.0009,,,Mode,3.1,8,,,,GLOBAL,,,,,
1754,2.18,8.47,,,0.0378,0.0122,,,Min,-2.2,5.8,,,,pocet>9,,,,,
1755,1.8,8.36,,,0.3301,0,,,Max,4.6,9.7,,,,,,,,,
1756,2.31,8.85,0.80617294,0.80617294,0.0042,0.2407,,,Variance,0.81,0.33,,,,,,,,,
1757,2.52,9.02,,,0.0212,0.4364,,,Standard deviation,0.9,0.58,,,,,,,,,
1758,1.45,6.74,,,0.8548,2.6224,,,10 year moving average ,,,,,,,,,,,
1759,2.64,7.99,1.94,8.03,0.0705,0.1365,0,,Average,2.37,8.34,,,,,,,,,
1760,1.75,7.19,1.76,7.88,0.3901,1.3675,0,,Median,2.26,8.27,,,,,,,,,
1761,2.97,8.77,1.75,7.96,0.3546,0.1686,0,,Mode,2.14,8.24,,,,,,,,,
1762,1.9,8.61,2.17,8.24,0.2252,0.0628,0,,Min,1.68,7.2,,,,,,,,,
1763,1.91,7.5,2.14,8.15,0.2158,0.7386,0,,Max,3.89,9.56,,,,,,,,,
1764,2.13,8.4,2.14,8.14,0.0598,0.0016,0,,Variance,0.19,0.19,,,,,,,,,
1765,1.45,8.25,2.1,8.13,0.8548,0.012,0,,Standard deviation,0.44,0.44,,,,,,,,,
1766,2.93,8.41,2.17,8.09,0.3085,0.0026,0,,Table 1: Comparison of the original data set consisting of the year average temperature with the calculated,,,,,,,,,,,
1767,1.66,8.22,2.08,8.01,0.5106,0.0194,0,,10 year moving average in Oslo and globaly.,,,,,,,,,Oslo [°C],Year average (initial data),10 year moving average 
1768,1.73,6.78,2.11,8.01,0.4154,2.4945,0,,,,,,,,,,,Average,2.37,2.37
1769,2.03,7.69,2.05,7.98,0.1187,0.4481,0,,,1838,1926,2014,,,,,,Median,2.4,2.26
1770,1.8,7.69,2.05,8.03,0.3301,0.4481,0,,88,,,,,,,,,Mode,3.06,2.14
1771,1.5,7.85,1.9,7.94,0.7648,0.2595,0,,,,,,,,,,,Min,-2.24,1.68
1772,1.73,8.19,1.89,7.9,0.4154,0.0287,0,,8.66,,,,,,,,,Max,4.55,3.89
1773,2.99,8.22,2,7.97,0.3788,0.0194,0,,average up to 1880,2.12,8.07,2.11,,,,,,Variance,0.81,0.19
1774,1.42,8.77,1.92,8.01,0.9112,0.1686,0,,1928-1987,2.56,8.68,2.57,,,,,,Standard deviation,0.9,0.44
1775,3.38,9.18,2.12,8.1,1.0109,0.6734,0,,1987-2000,3.5,9.34,3.28,,,,,,Global [°C],,
1776,2.27,8.3,2.05,8.09,0.0109,0.0035,0,,,,,,,,,,,Average,8.36,8.34
1777,1.85,8.26,2.07,8.09,0.2751,0.0099,0,,,,,,,,,,,Median,8.37,8.27
1778,2.36,8.54,2.13,8.27,0.0002,0.0326,0,,,,,,,,,,,Mode,7.98,8.24
1779,3.98,8.98,2.33,8.4,2.5775,0.3852,0,,,,,,,,,,,Min,5.78,7.2
1780,2.2,9.43,2.37,8.57,0.0305,1.1462,0,,,,,,,,,,,Max,9.73,9.56
1781,3.04,8.1,2.52,8.6,0.4428,0.0673,0,,,,,,,,,,,Variance,0.33,0.19
1782,1.32,7.9,2.48,8.57,1.1121,0.211,0,,,,,,,,,,,Standard deviation,0.58,0.44
1783,2.85,7.68,2.47,8.51,0.2261,0.4616,0,,,,,,,,,,,,,
1784,0.61,7.86,2.39,8.42,3.1136,0.2494,0,,,,,,,,,,,,,
1785,1.33,7.36,2.18,8.24,1.0911,0.9988,0,,,,,,,,,,,,,
1786,1.08,8.26,2.06,8.24,1.6758,0.0099,0,,,,,,,,,,,,,
1787,2.3,8.03,2.11,8.21,0.0056,0.1085,0,,,,,,,,,,,,,
1788,1.83,8.45,2.05,8.21,0.2965,0.0082,0,,,,,,,,,,,,,
1789,2.7,8.33,1.93,8.14,0.1059,0.0009,0,,,,,,,,,,,,,
1790,2.72,7.98,1.98,8,0.1193,0.1439,0,,,,,,,,,,,,,
1791,2.89,8.23,1.96,8.01,0.2657,0.0167,0,,,,,,,,,,,,,
1792,2.51,8.09,2.08,8.03,0.0183,0.0726,0,,,,,,,,,,,,,
1793,2.49,8.23,2.05,8.08,0.0133,0.0167,0,,,,,,,,,,,,,
1794,3.28,8.53,2.31,8.15,0.8198,0.0291,0,,,,,,,,,,,,,
1795,1.55,8.35,2.34,8.25,0.6799,0.0001,0,,,,,,,,,,,,,
