tweet_id retweet_count favorite_count
892420643555336193 7247 34703
892177421306343426 5429 30065
891815181378084864 3583 22629
891689557279858688 7456 37975
891327558926688256 8007 36255
891087950875897856 2686 18282
890971913173991426 1731 10646
890729181411237888 16298 58437
890609185150312448 3731 25177
890240255349198849 6297 28698
890006608113172480 6336 27724
889880896479866881 4304 25213
889665388333682689 8624 43207
889638837579907072 3854 24304
889531135344209921 1944 13681
889278841981685760 4595 22700
888917238123831296 3873 26269
888804989199671297 3660 23056
888554962724278272 2972 17783
888078434458587136 2996 19660
887705289381826560 4667 27322
887517139158093824 10155 41782
887473957103951883 15509 61845
887343217045368832 9100 30338
887101392804085760 5149 27663
886983233522544640 6578 31263
886736880519319552 2734 10766
886680336477933568 3861 20277
886366144734445568 2721 19049
886267009285017600 3 105
886258384151887873 5454 25222
886054160059072513 95 0
885984800019947520 5794 29370
885528943205470208 5521 32428
885518971528720385 3215 18474
885311592912609280 15931 0
885167619883638784 3773 19708
884925521741709313 15544 69234
884876753390489601 4816 25057
884562892145688576 4044 21901
884441805382717440 4930 24489
884247878851493888 17505 65186
884162670584377345 2580 18409
883838122936631299 2957 19696
883482846933004288 8544 41302
883360690899218434 3179 20454
883117836046086144 5717 33425
882992080364220416 3337 21541
882762694511734784 4226 25457
882627270321602560 5234 25265
882268110199369728 9997 40317
882045870035918850 4201 26437
881906580714921986 2938 21996
881666595344535552 9237 45739
881633300179243008 8 113
881536004380872706 13831 44633
881268444196462592 4604 21026
880935762899988482 2414 15446
880872448815771648 3303 19215
880465832366813184 5378 25659
880221127280381952 3591 24326
880095782870896641 3760 24943
879862464715927552 3018 20235
879674319642796034 9 285
879492040517615616 2734 21247
879415818425184262 38622 95401
879376492567855104 2715 15227
879130579576475649 5916 0
879050749262655488 4079 20361
879008229531029506 2323 17202
878776093423087618 3558 17555
878604707211726852 6117 27126
878404777348136964 1108 0
878316110768087041 5724 0
878281511006478336 1108 6985
878057613040115712 5916 38074
877736472329191424 16358 71338
877611172832227328 70 0
877556246731214848 3282 20487
877316821321428993 4508 24823
